timestamp,project_id,sensor_id,sensor_type,value,unit
2025-06-05T08:41:47Z,Solar_Facade,Temp_1,temperature,29.75,C
2025-06-05T08:41:47Z,Solar_Facade,Volt_1,voltage,22.33,V
2025-06-05T08:41:47Z,Solar_Facade,Amp_1,current,1.63,A
2025-06-05T08:41:47Z,Solar_Facade,Wind_1,wind_speed,4.39,m/s
2025-06-05T08:41:47Z,Solar_Facade,Irr_1,irradiance,401.09,W/m²
2025-06-05T08:41:47Z,Solar_Facade,PressHigh_1,pressure,198898.83,Pa
2025-06-05T08:41:47Z,Solar_Facade,PressLow_1,pressure,205202.27,Pa
2025-06-05T08:41:47Z,Solar_Brick,Irr_1,irradiance,329.12,W/m²
2025-06-05T08:41:47Z,Solar_Brick,Temp_1,temperature,27.07,C
2025-06-05T08:41:47Z,Solar_Brick,Volt_1,voltage,20.41,V
2025-06-05T08:41:47Z,Solar_Brick,Amp_1,current,3.46,A
2025-06-05T08:41:47Z,HAWT,Irr_1,irradiance,590.75,W/m²
2025-06-05T08:41:47Z,HAWT,WindSpeed_1,wind_speed,2.55,m/s
2025-06-05T08:41:47Z,HAWT,Wind_Direction_1,wind_direction,156.82,°
2025-06-05T08:41:47Z,HAWT,Volt_1,voltage,20.46,V
2025-06-05T08:41:47Z,HAWT,Amp_1,current,3.19,A
